test_id,prompt,ground_truth_answer,target_words,story,num_statements,allow_negative,distractor_ratio,abstract_ratio,word_number_ratio,multi_digit_ratio,target_max_length,target_min_length,num_targets,statements_grouping_max
1,"You are a highly precise counting assistant. Your task is to calculate the final amount of a specific item possessed by a group of people based on a story. Assume the group initially possesses 0 items.

Read the following story carefully:

Eevi dug up 1 shell.

Question: How many shells does the group possess in total at the end of the story? Output your answer as a single integer and nothing else.",1,shell,Eevi dug up 1 shell.,1,False,0.0,0.0,0.0,0.0,1,1,1,1
2,"You are a highly precise counting assistant. Your task is to calculate the final amount of a specific item possessed by a group of people based on a story. Assume the group initially possesses 0 items.

Read the following story carefully:

Maria built 5 wooden chairs.

Question: How many wooden chairs does the group possess in total at the end of the story? Output your answer as a single integer and nothing else.",5,wooden chair,Maria built 5 wooden chairs.,1,False,0.0,0.0,0.0,0.0,2,1,1,1
3,"You are an expert mathematical tracking engine. Your task is to track the physical accumulation and loss of specific items in a narrative.

CRITICAL RULES:
1. Track ONLY physical, tangible instances of the exact target item.
2. Do NOT count similar sounding items, brand names, or objects made of different materials.
3. Do NOT count hypothetical statements, abstract concepts, dreams, or things represented in media (e.g., pictures, video games, articles).
4. A group member losing, destroying, or consuming an item reduces the group's mathematical total.
5. You must calculate the collective total held across all members of the group at the end of the timeline.
6. Assume the group initially possesses 0 items.

STORY:
Oliver grown 5 apples.

QUESTION:
Based on the strict rules provided, how many apples does the group possess in total at the end? Output your final mathematical answer as a single integer and nothing else.",5,apple,Oliver grown 5 apples.,1,False,0.1,0.0,0.3,0.0,1,1,1,1
4,"You are an expert mathematical tracking engine. Your task is to track the physical accumulation and loss of specific items in a narrative.

CRITICAL RULES:
1. Track ONLY physical, tangible instances of the exact target item.
2. Do NOT count similar sounding items, brand names, or objects made of different materials.
3. Do NOT count hypothetical statements, abstract concepts, dreams, or things represented in media (e.g., pictures, video games, articles).
4. A group member losing, destroying, or consuming an item reduces the group's mathematical total.
5. You must calculate the collective total held across all members of the group at the end of the timeline.
6. Assume the group initially possesses 0 items.

STORY:
Lily bought one box.

QUESTION:
Based on the strict rules provided, how many boxes does the group possess in total at the end? Output your final mathematical answer as a single integer and nothing else.",1,box,Lily bought one box.,1,False,0.1,0.0,0.3,0.0,2,1,1,2
5,"You are a highly precise counting assistant. Your task is to calculate the final amount of a specific item possessed by a group of people based on a story. Assume the group initially possesses 0 items.

Read the following story carefully:

Michael bought 2 boxes. Sean built 6 boxes.

Question: How many boxes does the group possess in total at the end of the story? Output your answer as a single integer and nothing else.",8,box,Michael bought 2 boxes. Sean built 6 boxes.,2,False,0.0,0.0,0.0,0.0,1,1,1,1
6,"You are a highly precise counting assistant. Your task is to calculate the final amount of a specific item possessed by a group of people based on a story. Assume the group initially possesses 0 items.

Read the following story carefully:

Andriy purchased 9 chips. Leila built 3 chips.

Question: How many chips does the group possess in total at the end of the story? Output your answer as a single integer and nothing else.",12,chip,Andriy purchased 9 chips. Leila built 3 chips.,2,False,0.0,0.0,0.0,0.0,2,1,1,1
7,"You are an expert mathematical tracking engine. Your task is to track the physical accumulation and loss of specific items in a narrative.

CRITICAL RULES:
1. Track ONLY physical, tangible instances of the exact target item.
2. Do NOT count similar sounding items, brand names, or objects made of different materials.
3. Do NOT count hypothetical statements, abstract concepts, dreams, or things represented in media (e.g., pictures, video games, articles).
4. A group member losing, destroying, or consuming an item reduces the group's mathematical total.
5. You must calculate the collective total held across all members of the group at the end of the timeline.
6. Assume the group initially possesses 0 items.

STORY:
Charlotte gathered 1 apple. Vihaan bought six apples.

QUESTION:
Based on the strict rules provided, how many apples does the group possess in total at the end? Output your final mathematical answer as a single integer and nothing else.",7,apple,Charlotte gathered 1 apple. Vihaan bought six apples.,2,False,0.1,0.0,0.3,0.0,1,1,1,1
8,"You are an expert mathematical tracking engine. Your task is to track the physical accumulation and loss of specific items in a narrative.

CRITICAL RULES:
1. Track ONLY physical, tangible instances of the exact target item.
2. Do NOT count similar sounding items, brand names, or objects made of different materials.
3. Do NOT count hypothetical statements, abstract concepts, dreams, or things represented in media (e.g., pictures, video games, articles).
4. A group member losing, destroying, or consuming an item reduces the group's mathematical total.
5. You must calculate the collective total held across all members of the group at the end of the timeline.
6. Assume the group initially possesses 0 items.

STORY:
Dmytro gathered seven golden coins, and Yulia purchased six golden coins.

QUESTION:
Based on the strict rules provided, how many golden coins does the group possess in total at the end? Output your final mathematical answer as a single integer and nothing else.",13,golden coin,"Dmytro gathered seven golden coins, and Yulia purchased six golden coins.",2,False,0.1,0.0,0.3,0.0,2,1,1,2
9,"You are a highly precise counting assistant. Your task is to calculate the final amount of a specific item possessed by a group of people based on a story. Assume the group initially possesses 0 items.

Read the following story carefully:

Lan built 6 boxes. Lan built 6 boxes. Bohdan crafted 1 box.

Question: How many boxes does the group possess in total at the end of the story? Output your answer as a single integer and nothing else.",13,box,Lan built 6 boxes. Lan built 6 boxes. Bohdan crafted 1 box.,3,False,0.0,0.0,0.0,0.0,1,1,1,1
10,"You are a highly precise counting assistant. Your task is to calculate the final amount of a specific item possessed by a group of people based on a story. Assume the group initially possesses 0 items.

Read the following story carefully:

Valeria bought 8 rocks. Ivan purchased 2 rocks. Louis gathered 8 rocks.

Question: How many rocks does the group possess in total at the end of the story? Output your answer as a single integer and nothing else.",18,rock,Valeria bought 8 rocks. Ivan purchased 2 rocks. Louis gathered 8 rocks.,3,False,0.0,0.0,0.0,0.0,2,1,1,1
